attended,created_date,custom_signup_fields,event_id,event_is_virtual,event_type,id,modified_date,person_id,promoter_id,promoter_name,promoter_slug,promoter_type,rating,referrer_campaign,referrer_content,referrer_medium,referrer_source,referrer_term,referrer_url,status,timeslot_end,timeslot_id,timeslot_start
True,2019-04-23 15:01:09,[],91154,True,TEXT_BANK,961149,2019-06-06 19:51:58,467354,,,,,Positive,,,,,,https://t.co/M8mGyMnJWL,REGISTERED,2019-04-24 02:00:00,541134,2019-04-23 14:00:00
True,2019-04-23 19:08:04,[],91154,True,TEXT_BANK,961379,2020-11-18 18:45:25,467354,,,,,Positive,,,,,,,REGISTERED,2019-04-24 02:00:00,541134,2019-04-23 14:00:00
,2019-04-23 23:22:30,[],91154,True,TEXT_BANK,961562,2019-06-06 19:40:05,438678,,,,,,,,,msite,,https://www.mobilizeamerica.io/,REGISTERED,2019-04-24 02:00:00,541134,2019-04-23 14:00:00
,2019-04-24 02:55:54,[],91154,True,TEXT_BANK,961684,2019-06-06 19:41:02,507597,,,,,,,,,,,,REGISTERED,2019-04-25 02:00:00,541135,2019-04-24 14:00:00
,2019-04-24 02:55:54,[],91154,True,TEXT_BANK,961685,2019-06-06 19:44:33,507597,,,,,,,,,,,,REGISTERED,2019-04-26 02:00:00,541136,2019-04-25 14:00:00
,2019-04-24 02:55:54,[],91154,True,TEXT_BANK,961686,2019-06-06 19:40:26,507597,,,,,,,,,,,,REGISTERED,2019-04-27 02:00:00,541137,2019-04-26 14:00:00
,2019-04-26 00:51:46,[],91154,True,TEXT_BANK,964336,2019-06-06 19:46:27,510436,,,,,,,,,,,,REGISTERED,2019-04-26 02:00:00,541136,2019-04-25 14:00:00
False,2019-04-26 02:19:03,[],91154,True,TEXT_BANK,964446,2020-11-18 18:07:09,56206,,,,,,,,,msite,,,REGISTERED,2019-04-27 02:00:00,541137,2019-04-26 14:00:00
,2019-04-26 02:19:03,[],91154,True,TEXT_BANK,964447,2019-06-06 19:46:09,56206,,,,,,,,,msite,,,REGISTERED,2019-04-28 02:00:00,541138,2019-04-27 14:00:00
False,2019-04-26 20:24:46,[],91154,True,TEXT_BANK,965207,2020-11-18 18:07:09,689,,,,,,,,,,,,REGISTERED,2019-04-27 02:00:00,541137,2019-04-26 14:00:00
,2019-04-30 20:24:55,[],91154,True,TEXT_BANK,969877,2019-06-06 19:51:53,6315,,,,,,,,,,,,REGISTERED,2019-05-01 02:00:00,541141,2019-04-30 14:00:00
False,2019-04-30 21:26:42,[],91154,True,TEXT_BANK,969955,2020-11-18 18:01:52,1774,,,,,,,,,,,,REGISTERED,2019-05-01 02:00:00,541141,2019-04-30 14:00:00
,2019-05-03 04:08:51,[],91154,True,TEXT_BANK,972695,2019-06-06 19:53:50,277630,,,,,,,,,,,https://www.google.com/url?q=https://www.mobilize.us/workingfamilies/event/91154/&sa=D&ust=1556860005962000&usg=AFQjCNHrChe7DKWAk7hizthrxW0ufz1r3g,REGISTERED,2019-05-04 02:00:00,541144,2019-05-03 14:00:00
,2019-05-06 20:34:39,[],91985,True,PHONE_BANK,978107,2019-06-06 19:43:47,467354,,,,,,,,,,,,REGISTERED,2019-05-07 03:00:00,545482,2019-05-06 18:00:00
,2019-05-06 20:41:30,[],91985,True,PHONE_BANK,978117,2019-06-06 19:43:47,467354,,,,,,,,,,,,REGISTERED,2019-05-08 03:00:00,545483,2019-05-07 18:00:00
,2019-05-15 18:20:29,[],91985,True,PHONE_BANK,998738,2019-06-06 19:59:08,467354,,,,,,,,,,,https://www.wfp4themany.org/t4r-campaigns,REGISTERED,2019-05-17 03:00:00,548506,2019-05-16 18:00:00
,2019-05-15 19:31:05,[],91985,True,PHONE_BANK,998906,2019-06-06 19:59:12,539369,,,,,,,,,,,,REGISTERED,2019-05-19 03:00:00,548508,2019-05-18 18:00:00
,2019-05-15 20:21:54,[],91985,True,PHONE_BANK,999303,2019-06-06 19:59:20,539653,,,,,,,,,,,,REGISTERED,2019-05-17 03:00:00,548506,2019-05-16 18:00:00
,2019-05-16 11:27:11,[],91985,True,PHONE_BANK,1001057,2019-06-06 20:00:03,25392,,,,,,,,,,,,REGISTERED,2019-05-17 03:00:00,548506,2019-05-16 18:00:00
,2019-05-17 20:08:45,[],91985,True,PHONE_BANK,1004663,2019-06-06 19:18:37,187589,,,,,,,,,,,,REGISTERED,2019-05-18 03:00:00,548507,2019-05-17 18:00:00
,2019-05-18 18:57:05,[],91985,True,PHONE_BANK,1006961,2019-06-06 19:55:26,187589,,,,,,,,,,,,REGISTERED,2019-05-19 03:00:00,548508,2019-05-18 18:00:00
,2019-05-20 01:55:58,[],91985,True,PHONE_BANK,1008676,2019-06-06 19:50:03,546254,,,,,,,,,,,,REGISTERED,2019-05-20 03:00:00,548509,2019-05-19 18:00:00
